tweet_id,retweeted,retweet_count,favorite_count,is_quote_status,favorited
878281511006478336,False,1249,7540,False,False
878057613040115712,False,6606,40959,False,False
877736472329191424,False,18529,77650,False,False
877611172832227328,False,78,0,False,False
877556246731214848,False,3693,22154,False,False
877316821321428993,False,5043,26695,False,False
877201837425926144,False,5426,26440,False,False
876838120628539392,False,3245,20159,False,False
876537666061221889,False,4511,22954,True,False
876484053909872640,False,2324,18293,False,False
876120275196170240,False,4552,27244,False,False
875747767867523072,False,4169,24568,False,False
875144289856114688,False,4807,21393,False,False
875097192612077568,False,5896,26734,True,False
875021211251597312,False,4601,24868,False,False
874680097055178752,False,4526,27155,False,False
874434818259525634,False,14321,0,False,False
874296783580663808,False,4007,25446,False,False
874057562936811520,False,3855,22166,False,False
874012996292530176,False,10147,33713,False,False
873580283840344065,False,3842,23652,False,False
873337748698140672,False,1547,0,False,False
873213775632977920,False,1547,7062,False,False
872967104147763200,False,5283,26704,False,False
872820683541237760,False,3618,14403,False,False
872620804844003328,False,3612,20326,False,False
872486979161796608,False,8830,39802,False,False
872122724285648897,False,7961,33647,False,False
871879754684805121,False,10920,37109,False,False
871762521631449091,False,3414,19854,False,False
871515927908634625,False,3390,19796,False,False
871166179821445120,False,5588,0,False,False
871102520638267392,False,5410,20525,True,False
871032628920680449,False,3749,22235,False,False
870804317367881728,False,6091,32978,False,False
870726314365509632,False,3,117,False,False
870656317836468226,False,2597,12170,False,False
870374049280663552,False,25811,81238,False,False
870308999962521604,False,4085,21453,False,False
870063196459192321,False,8213,35959,False,False
869772420881756160,False,9889,41705,False,False
869702957897576449,False,6254,27761,False,False
869596645499047938,False,3093,15728,False,False
869227993411051520,False,3746,20139,False,False
868880397819494401,False,14298,64538,False,False
868639477480148993,False,2065,0,False,False
868622495443632128,False,5235,26335,False,False
868552278524837888,False,2065,9972,False,False
867900495410671616,False,4133,23849,False,False
867774946302451713,False,7272,33499,False,False
867421006826221569,False,2475,15906,False,False
867072653475098625,False,119,0,False,False
867051520902168576,False,7793,31835,False,False
866720684873056260,False,4768,19820,True,False
866686824827068416,False,3451,19046,False,False
866450705531457537,False,35043,120773,False,False
866334964761202691,False,14321,51907,False,False
866094527597207552,False,8308,0,False,False
865718153858494464,False,5586,25367,False,False
865359393868664832,False,4976,26175,False,False
865006731092295680,False,7648,27718,False,False
864873206498414592,False,8672,31957,False,False
864279568663928832,False,3012,14479,False,False
864197398364647424,False,8892,29852,False,False
863907417377173506,False,4123,20443,False,False
863553081350529029,False,4168,15177,False,False
863471782782697472,False,2437,0,False,False
863432100342583297,False,5225,23616,False,False
863427515083354112,False,96,2236,False,False
863079547188785154,False,1101,8713,False,False
863062471531167744,False,2437,8452,False,False
862831371563274240,False,5102,19027,False,False
862722525377298433,False,3524,16948,False,False
862457590147678208,False,4959,20379,False,False
862096992088072192,False,23273,74010,False,False
861383897657036800,False,10717,35927,False,False
861288531465048066,False,4164,17097,False,False
861005113778896900,False,3805,16624,False,False
860981674716409858,False,2167,0,False,False
860924035999428608,False,819,0,False,False
860563773140209665,False,2167,7478,False,False
860524505164394496,False,5305,23535,False,False
860276583193509888,False,3491,18255,False,False
860184849394610176,False,5885,16636,False,False
860177593139703809,False,31050,0,False,False
859924526012018688,False,4102,19501,False,False
859851578198683649,False,3532,15380,False,False
859607811541651456,False,1581,18561,False,False
859196978902773760,False,30409,89791,False,False
859074603037188101,False,13724,33833,False,False
858860390427611136,False,8211,0,False,False
858843525470990336,False,3515,15541,False,False
858471635011153920,False,4880,21518,False,False
858107933456039936,False,2924,15733,False,False
857989990357356544,False,2611,16151,False,False
857746408056729600,False,10763,34313,False,False
857393404942143489,False,1662,5913,False,False
857263160327368704,False,4567,20072,False,False
857214891891077121,False,18,228,False,False
857062103051644929,False,173,0,False,False
857029823797047296,False,4063,18978,False,False
856602993587888130,False,10852,0,False,False
856543823941562368,False,2927,16329,False,False
856526610513747968,False,1915,11888,False,False
856330835276025856,False,688,0,False,False
856288084350160898,False,17,522,False,False
856282028240666624,False,6438,27863,False,False
855862651834028034,False,26,347,False,False
855860136149123072,False,1044,5051,False,False
855857698524602368,False,2150,11935,True,False
855851453814013952,False,18085,45806,False,False
855818117272018944,False,5549,26797,True,False
855459453768019968,False,8376,30124,False,False
855245323840757760,False,6105,0,False,False
855138241867124737,False,46,0,False,False
854732716440526848,False,6246,23039,False,False
854482394044301312,False,7038,29592,False,False
854365224396361728,False,4798,19088,False,False
854120357044912130,False,7671,32338,False,False
854010172552949760,False,3228,16391,False,False
853760880890318849,False,5937,28942,False,False
853639147608842240,False,10419,35257,False,False
853299958564483072,False,3667,15747,False,False
852936405516943360,False,2068,0,False,False
852912242202992640,False,1889,9193,False,False
852672615818899456,False,2222,15158,False,False
852553447878664193,False,3619,16599,False,False
852311364735569921,False,10199,33654,False,False
852226086759018497,False,7009,20341,False,False
852189679701164033,False,1635,11652,False,False
851953902622658560,False,9952,0,False,False
851861385021730816,False,23,0,False,False
851591660324737024,False,3583,16523,False,False
851464819735769094,False,7327,24732,False,False
851224888060895234,False,5927,21085,False,False
850753642995093505,False,9603,31574,False,False
850380195714523136,False,2715,13342,False,False
850333567704068097,False,348,3512,False,False
850145622816686080,False,3962,16669,False,False
850019790995546112,False,5075,20889,False,False
849776966551130114,False,7892,31159,False,False
849668094696017920,False,5138,0,False,False
849412302885593088,False,3263,16243,False,False
849336543269576704,False,1963,11680,False,False
849051919805034497,False,8847,43427,False,False
848690551926992896,False,4490,25818,False,False
848324959059550208,False,4780,25367,False,False
848213670039564288,False,776,8379,False,False
848212111729840128,False,3194,16729,False,False
847978865427394560,False,3394,0,False,False
847971574464610304,False,443,0,False,False
847962785489326080,False,5308,24110,False,False
847842811428974592,False,1390,5606,False,False
847617282490613760,False,441,7181,False,False
847606175596138505,False,3548,19276,False,False
847251039262605312,False,4475,21007,False,False
847157206088847362,False,6109,20463,False,False
847116187444137987,False,3333,21991,False,False
846874817362120707,False,4098,20620,False,False
846514051647705089,False,12123,45860,False,False
846505985330044928,False,3215,14504,True,False
846153765933735936,False,9489,32592,False,False
846139713627017216,False,10363,31794,True,False
846042936437604353,False,3027,16460,False,False
845812042753855489,False,9135,30129,False,False
845677943972139009,False,5005,25890,False,False
845397057150107648,False,1890,7867,False,False
845306882940190720,False,5650,24035,False,False
845098359547420673,False,8019,0,False,False
844979544864018432,False,2699,14024,False,False
844973813909606400,False,3369,15567,False,False
844704788403113984,False,10852,39909,False,False
844580511645339650,False,3290,17007,False,False
844223788422217728,False,2311,14051,False,False
843981021012017153,False,3075,15623,True,False
843856843873095681,False,4864,22118,False,False
843604394117681152,False,2892,17422,False,False
843235543001513987,False,6356,22219,False,False
842846295480000512,False,3790,15711,False,False
842765311967449089,False,1342,6972,False,False
842535590457499648,False,3692,18683,False,False
842163532590374912,False,6105,25276,False,False
842115215311396866,False,3195,14468,False,False
841833993020538882,False,16124,0,False,False
841680585030541313,False,8165,26526,False,False
841439858740625411,False,3880,13056,False,False
841320156043304961,False,5741,20456,True,False
841314665196081154,False,4941,16377,False,False
841077006473256960,False,5588,23669,False,False
840761248237133825,False,1848,0,False,False
840728873075638272,False,17017,0,False,False
